stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
276,,"SEPULVEDA BLVD/76TH ST",,  33.971482,-118.394819,,,0
277,,"HOWARD HUGHES PKWY/PARK TERRACE DR",,  33.974909,-118.391777,,,0
278,,"CENTER DR/PARK TERRACE DR",,  33.978219,-118.393064,,,0
279,,"SEPULVEDA BLVD/CENTINELA AVE",,  33.979684,-118.394214,,,0
28,,"WASHINGTON BLVD/GIRARD AVE",,  34.013726,-118.408774,,,0
280,,"SEPULVEDA BLVD/MACHADO RD",,  33.996924,-118.396649,,,0
281,,"SEPULVEDA BLVD/MARINA CARE CTR",,  33.998858,-118.399472,,,0
282,,"SEPULVEDA BLVD/LUCERNE AVE",,  34.000447,-118.402240,,,0
283,,"SEPULVEDA BLVD/BRADDOCK DR",,  34.002931,-118.406642,,,0
284,,"SEPULVEDA BLVD/CULVER BLVD",,  34.005122,-118.410417,,,0
285,,"SEPULVEDA BLVD/WASHINGTON BLVD",,  34.007694,-118.413103,,,0
286,,"SEPULVEDA BLVD/WASHINGTON PL",,  34.009116,-118.414031,,,0
287,,"SEPULVEDA BLVD/VENICE BLVD",,  34.012415,-118.416638,,,0
288,,"SEPULVEDA BLVD/CHARNOCK RD",,  34.017126,-118.420370,,,0
289,,"SEPULVEDA BLVD/PALMS BLVD",,  34.019592,-118.422328,,,0
29,,"WASHINGTON BLVD/CULVER CENTER",,  34.015876,-118.406367,,,0
290,,"SEPULVEDA BLVD/QUEENSLAND ST",,  34.023767,-118.425642,,,0
291,,"SEPULVEDA BLVD/NATIONAL BLVD",,  34.027275,-118.428398,,,0
292,,"SEPULVEDA BLVD/SARDIS AVE",,  34.030114,-118.430076,,,0
293,,"SEPULVEDA BLVD/RICHLAND AVE",,  34.033122,-118.432366,,,0
294,,"SEPULVEDA BLVD/PICO BLVD",,  34.037361,-118.435302,,,0
295,,"SEPULVEDA BLVD/OLYMPIC BLVD",,  34.040586,-118.438020,,,0
296,,"SEPULVEDA BLVD/LA GRANGE AVE",,  34.043187,-118.440353,,,0
297,,"SEPULVEDA BLVD/SANTA MONICA BLVD",,  34.048020,-118.444437,,,0
298,,"SEPULVEDA BLVD/OHIO AVE",,  34.050314,-118.446435,,,0
299,,"SEPULVEDA BLVD/WESTWOOD CMNTY",,  34.052425,-118.448227,,,0
3,,"PACIFIC AVE/N VENICE BLVD",,  33.985080,-118.470196,,,0
30,,"WASHINGTON BLVD/OVERLAND AVE",,  34.017129,-118.404838,,,0
300,,"WILSHIRE BLVD/VETERAN AVE",,  34.057586,-118.447875,,,0
301,,"WESTWOOD BLVD/LINDBROOK DR",,  34.059463,-118.444318,,,0
302,,"WESTWOOD BLVD/WEYBURN AVE",,  34.062390,-118.445276,,,0
303,,"WESTWOOD PLAZA",,  34.065459,-118.445179,,,0
304,,"UCLA GATEWAY PLAZA",,  34.068275,-118.444789,,,0
305,,"WESTWOOD MEDICAL PLAZA",,  34.065454,-118.445477,,,0
306,,"WESTWOOD BLVD/WEYBURN AVE",,  34.062715,-118.445514,,,0
307,,"WESTWOOD BLVD/LINDBROOK DR",,  34.059729,-118.444907,,,0
308,,"WESTWOOD BLVD/WILSHIRE BLVD",,  34.058936,-118.444232,,,0
309,,"WILSHIRE BLVD/VETERAN AVE",,  34.057974,-118.447555,,,0
31,,"WASHINGTON BLVD/MOTOR AVE",,  34.018881,-118.401928,,,0
310,,"SEPULVEDA BLVD/SALVATION ARMY",,  34.052663,-118.448756,,,0
311,,"SEPULVEDA BLVD/OHIO AVE",,  34.050103,-118.446567,,,0
312,,"SEPULVEDA BLVD/SANTA MONICA BLVD",,  34.047156,-118.444041,,,0
313,,"SEPULVEDA BLVD/LA GRANGE AVE",,  34.042854,-118.440331,,,0
314,,"SEPULVEDA BLVD/PICO BLVD (EXPO)",,  34.036626,-118.435006,,,0
315,,"SEPULVEDA BLVD/RICHLAND AVE",,  34.032819,-118.432496,,,0
316,,"SEPULVEDA BLVD/SARDIS AVE",,  34.029952,-118.430162,,,0
317,,"SEPULVEDA BLVD/NATIONAL BLVD",,  34.026990,-118.428495,,,0
318,,"SEPULVEDA BLVD/SEPULVEDA CT",,  34.023973,-118.426114,,,0
319,,"SEPULVEDA BLVD/PALMS BLVD",,  34.019426,-118.422521,,,0
32,,"WASHINGTON BLVD/JASMINE AVE",,  34.019609,-118.400707,,,0
320,,"SEPULVEDA BLVD/CHARNOCK RD",,  34.016186,-118.419970,,,0
321,,"SEPULVEDA BLVD/VENICE BLVD",,  34.012273,-118.416852,,,0
322,,"SEPULVEDA BLVD/WASHINGTON PL",,  34.008995,-118.414261,,,0
323,,"SEPULVEDA BLVD/WASHINGTON BLVD",,  34.006383,-118.412636,,,0
324,,"SEPULVEDA BLVD/CULVER BLVD",,  34.004864,-118.410449,,,0
325,,"SEPULVEDA BLVD/BRADDOCK DR",,  34.002491,-118.406330,,,0
326,,"SEPULVEDA BLVD/LUCERNE",,  34.000441,-118.402687,,,0
327,,"SEPULVEDA BLVD/STUDIO VILLAGE W",,  33.998807,-118.399843,,,0
328,,"SEPULVEDA BLVD/JANISANN AVE",,  33.996797,-118.396946,,,0
329,,"SEPULVEDA BLVD/CENTINELA AVE",,  33.980647,-118.394841,,,0
33,,"WASHINGTON BLVD/MADISON AVE",,  34.020967,-118.398430,,,0
330,,"CENTER DR/PARK TERRACE DR",,  33.977879,-118.392755,,,0
331,,"HOWARD HUGHES PKWY/PARK TERRACE DR",,  33.975056,-118.391808,,,0
332,,"SEPULVEDA BLVD/77TH ST",,  33.971361,-118.395161,,,0
333,,"SEPULVEDA BLVD/80TH ST",,  33.966730,-118.396202,,,0
334,,"SEPULVEDA BLVD/83RD ST",,  33.963298,-118.396323,,,0
335,,"SEPULVEDA BLVD/MANCHESTER BLVD",,  33.959386,-118.396399,,,0
336,,"SEPULVEDA BLVD/LA TIJERA BLVD",,  33.956937,-118.396398,,,0
337,,"WESTCHESTER PKWY/SEPULVEDA BLVD",,  33.954515,-118.395978,,,0
338,,"WESTCHESTER PKWY/JENNY AVE",,  33.952522,-118.389408,,,0
339,,"JENNY AVE/96TH ST",,  33.949011,-118.389354,,,0
34,,"WASHINGTON BLVD/DUQUESNE AVE",,  34.021422,-118.397624,,,0
340,,"96TH ST/AIRPORT BLVD",,  33.949335,-118.386272,,,0
341,,"CENTURY BLVD/AIRPORT BLVD",,  33.945357,-118.385639,,,0
342,,"CENTURY BLVD/INTERNATIONAL RD",,  33.945321,-118.381813,,,0
343,,"CENTURY BLVD/AVIATION BLVD",,  33.945349,-118.378720,,,0
344,,"AVIATION BLVD/104TH ST",,  33.942154,-118.378618,,,0
345,,"AVIATION BLVD/111TH ST",,  33.934703,-118.378593,,,0
346,,"FIJI WY/ENT TO FISHERMAN'S",,  33.972123,-118.445713,,,0
347,,"ADMIRALTY WY/FIJI WY",,  33.978056,-118.438734,,,0
348,,"ADMIRALTY WY/BALI WY",,  33.982012,-118.441480,,,0
349,,"MAXELLA AVE/LINCOLN BLVD",,  33.985869,-118.442836,,,0
35,,"CULVER BLVD/LAFAYETTE PL",,  34.021943,-118.395836,,,0
350,,"MAXELLA AVE/GLENCOE AVE",,  33.986483,-118.441583,,,0
351,,"MINDANAO WY/GLENCOE AVE",,  33.985783,-118.436955,,,0
352,,"MINDANAO WY/ALLA RD",,  33.987817,-118.433465,,,0
353,,"ALLA RD/GLENCOE AVE",,  33.984652,-118.431063,,,0
354,,"ALLA RD/PANAMA ST",,  33.983048,-118.429950,,,0
355,,"CULVER BLVD/MARINA FWY",,  33.982256,-118.427781,,,0
356,,"CULVER BLVD/BRADDOCK DR",,  33.986199,-118.424657,,,0
357,,"CULVER BLVD/12500 CULVER BLVD",,  33.988928,-118.422432,,,0
358,,"CULVER BLVD/CENTINELA AVE",,  33.991201,-118.420594,,,0
359,,"CULVER BLVD/INGLEWOOD BLVD",,  33.994691,-118.417801,,,0
36,,"CULVER BLVD/MAIN ST",,  34.024948,-118.393440,,,0
360,,"CULVER BLVD/SLAUSON AVE",,  33.998303,-118.414881,,,0
361,,"CULVER BLVD/BERRYMAN AVE",,  34.000091,-118.413425,,,0
362,,"CULVER BLVD/SAWTELLE BLVD",,  34.001987,-118.411889,,,0
363,,"CULVER BLVD/SEPULVEDA BLVD",,  34.004467,-118.409881,,,0
364,,"CULVER BLVD/HARTER AVE",,  34.006752,-118.408039,,,0
365,,"CULVER BLVD/ELENDA ST",,  34.010320,-118.405345,,,0
366,,"CULVER BLVD/OVERLAND AVE",,  34.013532,-118.402758,,,0
