stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
N1X41,,"Broadway Pl & 37th Pl",,  34.013973,-118.275592,,,0,
N1X42,,"Broadway Pl & Main St",,  34.015821,-118.274273,,,0,
N1X43,,"Main St & Jefferson Bl",,  34.018470,-118.272699,,,0,
N1X44,,"Main St & 30th St",,  34.021599,-118.270728,,,0,
N1X45,,"Main St & Adams Bl",,  34.024647,-118.268791,,,0,
N1X46,,"Main St & 23rd St",,  34.027192,-118.267100,,,0,
N1X47,,"Main St & 21st St",,  34.028715,-118.266120,,,0,
N1X48,,"Main St & Washington Bl",,  34.030880,-118.264724,,,0,
N1X49,,"Main St & 16th St",,  34.033782,-118.262404,,,0,
N1X50,,"Main St & Pico Bl",,  34.036225,-118.260448,,,0,
N1X51,,"Main St & 12th St",,  34.037424,-118.259415,,,0,
N1X52,,"Main St & 11th St",,  34.038963,-118.258151,,,0,
N1X53,,"Main St & Olympic Bl",,  34.040316,-118.256934,,,0,
N1X54,,"Main St & 9th St",,  34.041443,-118.255175,,,0,
N1X55,,"Main St & 8th St",,  34.042613,-118.253326,,,0,
N1X56,,"Main St & 7th St",,  34.043798,-118.251538,,,0,
N1X57,,"Main St & 6th St",,  34.045390,-118.249834,,,0,
N1X58,,"Main St & 5th St",,  34.046503,-118.248722,,,0,
N1X59,,"Main St & Winston St",,  34.047382,-118.247844,,,0,
N1X60,,"Main St & 4th St",,  34.048452,-118.246878,,,0,
N1X61,,"Main St & 3rd St",,  34.049284,-118.246108,,,0,
N1X62,,"Main St & 2nd St",,  34.051314,-118.244201,,,0,
N1X63,,"1st St & Main St",,  34.051920,-118.243082,,,0,
S1X01,,"1st St & Los Angeles St",,  34.051227,-118.242147,,,0,
S1X02,,"1st St & San Pedro St",,  34.050459,-118.241132,,,0,
S1X03,,"Los Angeles St & 3rd St",,  34.048654,-118.244743,,,0,
S1X04,,"Los Angeles St & 4th St",,  34.047417,-118.246082,,,0,
S1X05,,"Los Angeles St & 6th St",,  34.044704,-118.248951,,,0,
S1X06,,"Los Angeles St & 7th St",,  34.043407,-118.250361,,,0,
S1X07,,"Los Angeles St & 8th St",,  34.041977,-118.252289,,,0,
S1X08,,"Main St & 9th St",,  34.042552,-118.254217,,,0,
S1X09,,"Main St & Olympic Bl",,  34.041083,-118.255889,,,0,
S1X10,,"Main St & 11th St",,  34.039266,-118.258080,,,0,
S1X11,,"Main St & 12th St",,  34.037882,-118.259216,,,0,
S1X12,,"Main St & Pico Bl",,  34.036678,-118.260100,,,0,
S1X13,,"Main St & Venice Bl",,  34.033809,-118.262460,,,0,
S1X14,,"Main St & Washington Bl",,  34.031248,-118.264551,,,0,
S1X15,,"Main St & 21st St",,  34.029177,-118.265979,,,0,
S1X16,,"Main St & 23rd St",,  34.027766,-118.266866,,,0,
S1X17,,"Main St & Adams Bl",,  34.025046,-118.268622,,,0,
S1X18,,"Main St & 30th St",,  34.021907,-118.270636,,,0,
S1X19,,"Main St & Jefferson Bl",,  34.018349,-118.272928,,,0,
S1X20,,"Main St & Broadway Pl",,  34.016683,-118.273883,,,0,
S1X21,,"Broadway Pl & 38th St",,  34.013808,-118.275811,,,0,
S1X22,,"Broadway Pl & MLK Jr Bl",,  34.011303,-118.277366,,,0,
