stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
4658,14658,FOLSOM ST & 4TH ST, ,37.782045,-122.401104, , 
4659,14659,FOLSOM ST & 5TH ST, ,37.780386,-122.403099, , 
4660,14660,FOLSOM ST & 6TH ST, ,37.778629,-122.405324, , 
4661,14661,FOLSOM ST & 7TH ST, ,37.776641,-122.407847, , 
4662,14662,FOLSOM ST & 8TH ST, ,37.775115,-122.409773, , 
4663,14663,FOLSOM ST & 9TH ST, ,37.773894,-122.411321, , 
4664,14664,FOLSOM ST & 11TH ST, ,37.771905,-122.413958, , 
4665,14665,FOLSOM ST & 11TH ST, ,37.771833,-122.41413, , 
4666,14666,FOLSOM ST & 14TH ST, ,37.768461,-122.415667, , 
4667,14667,FOLSOM ST & 14TH ST, ,37.768461,-122.41553, , 
4668,14668,FOLSOM ST & 16TH ST, ,37.76557,-122.415245, , 
4669,14669,FOLSOM ST & 16TH ST, ,37.765231,-122.415417, , 
4670,14670,FOLSOM ST & 17TH ST, ,37.76383,-122.41528, , 
4671,14671,FOLSOM ST & 18TH ST, ,37.762215,-122.414914, , 
4672,14672,FOLSOM ST & 18TH ST, ,37.761858,-122.415086, , 
4673,14673,FOLSOM ST & 20TH ST, ,37.759,-122.41478, , 
4674,14674,FOLSOM ST & 20TH ST, ,37.758815,-122.414606, , 
4675,14675,FOLSOM ST & 22ND ST, ,37.755951,-122.414332, , 
4676,14676,FOLSOM ST & 22ND ST, ,37.75546,-122.414481, , 
4677,14677,FOLSOM ST & 24TH ST, ,37.752757,-122.414024, , 
4678,14678,FOLSOM ST & 24TH ST, ,37.752596,-122.414208, , 
4680,14680,FOLSOM ST & 25TH ST, ,37.750999,-122.414048, , 
4681,14681,FOLSOM ST & 25TH ST, ,37.750829,-122.413842, , 
4683,14683,FOLSOM ST & 26TH ST, ,37.749063,-122.413854, , 
4684,14684,FOLSOM ST & CESAR CHAVEZ ST, ,37.74848,-122.41379, , 
4685,14685,FOLSOM ST & CESAR CHAVEZ ST, ,37.74811,-122.41359, , 
4686,14686,FOLSOM ST & BESSIE ST, ,37.74687,-122.41362, , 
4687,14687,FOLSOM ST & CORTLAND AVE, ,37.73888,-122.4133, , 
4688,14688,FOLSOM ST & CORTLAND AVE, ,37.7388,-122.41337, , 
4689,14689,FOLSOM ST & CRESCENT AVE, ,37.73494,-122.41365, , 
4690,14690,FOLSOM ST & CRESCENT AVE, ,37.73483,-122.41372, , 
4694,14694,FOLSOM ST & MAIN ST, ,37.789269,-122.391859, , 
4695,14695,FOLSOM ST & OGDEN ST, ,37.73605,-122.41352, , 
4696,14696,FOLSOM ST & OGDEN ST, ,37.73579,-122.41364, , 
4697,14697,FOLSOM ST & PRECITA AVE, ,37.7471,-122.41349, , 
4698,14698,FOLSOM ST & STONEMAN ST, ,37.74532,-122.41336, , 
4699,14699,FOLSOM ST & STONEMAN ST, ,37.74521,-122.41345, , 
4700,14700,FOLSOM ST & TOMPKINS ST, ,37.73718,-122.41344, , 
4701,14701,FOLSOM ST & TOMPKINS ST, ,37.73716,-122.41352, , 
4702,14702,FONT BLVD & ARBALLO DR, ,37.72176,-122.482151, , 
4703,14703,FONT BLVD & ARBALLO DR, ,37.72184,-122.48254, , 
4704,14704,FONT BLVD & CHUMASERO DR, ,37.715213,-122.473169, , 
4705,14705,FONT BLVD & CAMBON DR, ,37.715899,-122.474292, , 
4706,14706,FONT BLVD & CAMBON DR, ,37.715899,-122.474578, , 
4707,14707,FONT BLVD & GONZALEZ DR, ,37.716782,-122.475758, , 
4709,14709,FONT BLVD & JUAN BAUTISTA CIR, ,37.717701,-122.477076, , 
4710,14710,FONT BLVD & SERRANO DR, ,37.719601,-122.479607, , 
4711,14711,FONT BLVD & SERRANO DR, ,37.71963,-122.47998, , 
4712,14712,FONT BLVD & TAPIA DR, ,37.72068,-122.480902, , 
4713,14713,FOUNTAIN ST & 24TH ST, ,37.75075,-122.44166, , 
4714,14714,FREDERICK ST & ARGUELLO BLVD, ,37.766047,-122.457635, , 
4715,14715,FREDERICK ST & ASHBURY ST, ,37.767261,-122.446691, , 
4716,14716,FREDERICK ST & ASHBURY ST, ,37.767145,-122.446462, , 
4717,14717,FREDERICK ST & CLAYTON ST, ,37.7671,-122.447917, , 
4718,14718,FREDERICK ST & STANYAN ST, ,37.766413,-122.453257, , 
4719,14719,FREDERICK ST & WILLARD ST, ,37.766208,-122.454908, , 
4720,14720,FREDERICK ST & WILLARD ST, ,37.766092,-122.454701, , 
4721,14721,FREMONT ST & FOLSOM ST, ,37.788217,-122.393763, , 
4722,14722,FREMONT ST & HOWARD ST, ,37.78919,-122.39497, , 
4723,14723,FREMONT ST & MISSION ST, ,37.789948,-122.395929, , 
4724,14724,FREMONT ST & MISSION ST, ,37.789877,-122.395871, , 
4725,14725,FREMONT ST & MARKET ST, ,37.791645,-122.398151, , 
4726,14726,DON CHEE WAY/STEUART ST, ,37.794052,-122.393449, , 
4727,14727,DON CHEE WAY/STEUART ST, ,37.793918,-122.393438, , 
4728,14728,FORT CRONKHITE PARKING LOT, ,37.83238,-122.53867, , 
4729,14729,MARINA BLVD & LAGUNA ST, ,37.805118,-122.432185, , 
4730,14730,FULTON ST & 4TH AVE, ,37.773952,-122.461659, , 
