Name,Latitude,Longitude
20TH ST & MISSOURI ST,37.760085,-122.396443
20TH ST & MISSOURI ST,37.75999,-122.39643
20TH ST & RHODE ISLAND ST,37.75962,-122.40223
20TH ST & TEXAS ST,37.76004,-122.39545
20TH ST & VERMONT ST,37.75962,-122.40388
21ST ST & DOUGLASS ST,37.75536,-122.43901
22ND AVE & IRVING ST,37.763679,-122.480268
22ND AVE & JUDAH ST,37.761457,-122.480106
22ND AVE & KIRKHAM ST,37.759592,-122.47998
22ND AVE & LAWTON ST,37.757754,-122.479853
22ND AVE & LINCOLN WAY,37.765186,-122.480372
22ND AVE & MORAGA ST,37.755898,-122.479714
22ND AVE & NORIEGA ST,37.754337,-122.479611
22ND ST & 3RD ST,37.75801,-122.38809
22ND ST & 3RD ST,37.75789,-122.38851
22ND ST & CAROLINA ST,37.7573,-122.39975
22ND ST & IOWA ST,37.757771,-122.3918
22ND ST & MINNESOTA ST,37.75787,-122.39008
22ND ST & MINNESOTA ST,37.75779,-122.39
22ND ST & MISSISSIPPI ST,37.75764,-122.39397
22ND ST & PENNSYLVANIA AVE,37.757585,-122.393052
22ND ST & WISCONSIN ST,37.75727,-122.39907
23RD AVE & IRVING ST,37.763134,-122.481482
23RD AVE & JUDAH ST,37.761608,-122.481378
23RD AVE & KIRKHAM ST,37.759735,-122.48124
23RD AVE & LAWTON ST,37.75787,-122.481113
23RD AVE & LINCOLN WAY,37.765026,-122.481609
23RD AVE & MORAGA ST,37.756014,-122.480986
23RD AVE & NORIEGA ST,37.75414,-122.48086
23RD ST & DIAMOND ST,37.752698,-122.436539
23RD ST & EUREKA ST,37.75277,-122.437387
23RD ST & KANSAS ST,37.754448,-122.402668
23RD ST & RHODE ISLAND ST,37.75451,-122.401694
23RD ST & UTAH ST,37.75442,-122.40494
23RD ST & UTAH ST,37.754298,-122.405304
23RD ST & VERMONT ST,37.75448,-122.40391
23RD ST & VERMONT ST,37.754395,-122.403631
23RD ST & WISCONSIN ST,37.75481,-122.39856
24TH ST & BRYANT ST,37.752853,-122.409281
24TH ST & BRYANT ST,37.752755,-122.408971
24TH ST & CHURCH ST,37.751778,-122.427327
