"","ZipCode","Population","HouseholdsPerZipCode","PersonsPerHousehold","AverageHouseValue","IncomePerHousehold","Latitude","Longitude","CountyName","popden","electricity(kWh)","Nat.Gas(cu.ft.)","FUELOIL(gallons)","Vehiclemilestraveled","Transport(tCO2e/yr)","incomelevels","stoplevels","distance","number_of_stops"
"752","91436",13109,"5287","2.55",583400,102652,34.16591,-118.46357,"LOSANGELES"," 2,801 "," 10,169 "," 10,169 "," 10,169 "," 17,971 ",15.17,"$100K+","0-25","within3km",254
"753","91501",18096,"7647","2.42",325500,43750,34.188999,-118.297989,"LOSANGELES"," 14,008 "," 6,036 "," 6,036 "," 6,036 "," 20,621 ",14.45,"$40K-$60K","0-25","within3km",149
"754","91502",11500,"4918","2.39",202200,29185,34.176232,-118.307682,"LOSANGELES"," 8,841 "," 4,877 "," 4,877 "," 4,877 "," 14,964 ",10.38,"$0-$40K","51-75","within3km",213
"755","91504",25872,"9816","2.67",289400,55813,34.203068,-118.329504,"LOSANGELES"," 3,267 "," 7,464 "," 7,464 "," 7,464 "," 23,815 ",16.84,"$40K-$60K","0-25","within3km",162
"756","91505",29235,"13627","2.21",230800,51740,34.169079,-118.343061,"LOSANGELES"," 6,120 "," 6,549 "," 6,549 "," 6,549 "," 18,306 ",13.41,"$40K-$60K","26-50","within3km",306
"757","91506",18530,"7953","2.34",250800,50849,34.172596,-118.322672,"LOSANGELES"," 7,504 "," 6,873 "," 6,873 "," 6,873 "," 20,797 ",14.87,"$40K-$60K","26-50","within3km",305
"758","91601",36616,"15109","2.49",210100,31671,34.167888,-118.369332,"LOSANGELES"," 13,946 "," 5,361 "," 5,361 "," 5,361 "," 15,515 ",10.8,"$0-$40K","26-50","within3km",291
"759","91602",16978,"9704","1.82",383900,47989,34.151673,-118.365113,"LOSANGELES"," 7,928 "," 5,495 "," 5,495 "," 5,495 "," 17,936 ",13.14,"$40K-$60K","26-50","within3km",261
"760","91604",26137,"14124","1.89",457700,60299,34.1412,-118.39092,"LOSANGELES"," 5,241 "," 6,406 "," 6,406 "," 6,406 "," 16,647 ",12.82,"$60K-$80K","26-50","within3km",203
"761","91605",57129,"15737","3.69",169500,32168,34.208387,-118.402459,"LOSANGELES"," 10,364 "," 6,407 "," 6,407 "," 6,407 "," 19,196 ",12.76,"$0-$40K","0-25","within3km",230
"762","91606",45348,"15124","3.06",170100,31806,34.186304,-118.389143,"LOSANGELES"," 12,729 "," 6,002 "," 6,002 "," 6,002 "," 17,833 ",12.08,"$0-$40K","26-50","within3km",296
"763","91607",27439,"13085","2.11",304200,40565,34.16478,-118.39986,"LOSANGELES"," 11,688 "," 5,709 "," 5,709 "," 5,709 "," 17,763 ",12.64,"$40K-$60K","51-75","within3km",332
"764","91702",57765,"15847","3.63",146700,42108,34.126437,-117.902565,"LOSANGELES"," 2,680 "," 7,688 "," 7,688 "," 7,688 "," 23,116 ",15.6,"$40K-$60K","0-25","within3km",125
"765","91706",76889,"17715","4.43",146600,41621,34.08924,-117.96372,"LOSANGELES"," 5,653 "," 7,775 "," 7,775 "," 7,775 "," 26,059 ",17.18,"$40K-$60K","26-50","within3km",129
"766","91711",34715,"11746","2.58",252400,66663,34.11306,-117.717241,"LOSANGELES"," 2,495 "," 8,956 "," 8,956 "," 8,956 "," 24,016 ",17.44,"$60K-$80K","0-25","within3km",103
"767","91722",33803,"10451","3.29",169500,50126,34.097211,-117.904601,"LOSANGELES"," 8,015 "," 8,396 "," 8,396 "," 8,396 "," 25,697 ",17.6,"$40K-$60K","0-25","within3km",144
"768","91723",17552,"6449","2.76",187800,42100,34.085167,-117.884814,"LOSANGELES"," 7,722 "," 7,027 "," 7,027 "," 7,027 "," 21,211 ",14.65,"$40K-$60K","26-50","within3km",153
"769","91724",25062,"8507","2.98",205900,59158,34.089819,-117.856778,"LOSANGELES"," 4,275 "," 8,758 "," 8,758 "," 8,758 "," 28,606 ",19.85,"$40K-$60K","0-25","within3km",107
"770","91731",30206,"7778","3.96",160600,30942,34.076836,-118.040838,"LOSANGELES"," 8,140 "," 6,594 "," 6,594 "," 6,594 "," 19,772 ",13,"$0-$40K","51-75","within3km",286
"771","91732",62659,"14877","4.27",156800,34141,34.073305,-118.012655,"LOSANGELES"," 12,701 "," 7,094 "," 7,094 "," 7,094 "," 21,081 ",13.85,"$0-$40K","26-50","within3km",237
"772","91733",45640,"10116","4.6",157600,32644,34.04778,-118.04478,"LOSANGELES"," 6,973 "," 6,892 "," 6,892 "," 6,892 "," 20,470 ",13.33,"$0-$40K","0-25","within3km",157
"773","91740",25117,"8490","2.93",188900,52696,34.1156,-117.8563,"LOSANGELES"," 5,247 "," 8,434 "," 8,434 "," 8,434 "," 25,983 ",17.97,"$40K-$60K","0-25","within3km",159
"774","91741",24967,"8883","2.83",273000,67419,34.1452,-117.8532,"LOSANGELES"," 2,572 "," 9,706 "," 9,706 "," 9,706 "," 30,923 ",21.64,"$60K-$80K","0-25","within3km",96
"775","91744",84950,"18835","4.59",148600,46792,34.031085,-117.93634,"LOSANGELES"," 9,830 "," 8,659 "," 8,659 "," 8,659 "," 26,952 ",17.9,"$40K-$60K","0-25","within3km",134
"776","91745",53682,"16464","3.32",231500,59642,33.997817,-117.964862,"LOSANGELES"," 4,030 "," 8,983 "," 8,983 "," 8,983 "," 29,105 ",20.08,"$40K-$60K","0-25","within3km",95
"777","91746",30795,"6931","4.52",153200,44189,34.048277,-117.982221,"LOSANGELES"," 4,354 "," 8,839 "," 8,839 "," 8,839 "," 28,494 ",18.75,"$40K-$60K","0-25","within3km",106
"778","91748",46324,"13828","3.44",215200,51640,33.98268,-117.89802,"LOSANGELES"," 3,203 "," 8,377 "," 8,377 "," 8,377 "," 25,572 ",17.56,"$40K-$60K","0-25","within3km",48
"779","91750",35512,"12894","2.74",239300,60366,34.117526,-117.770153,"LOSANGELES"," 1,643 "," 8,966 "," 8,966 "," 8,966 "," 28,735 ",20.03,"$60K-$80K","0-25","within3km",51
"780","91754",33263,"11664","2.95",218700,40267,34.0502,-118.1489,"LOSANGELES"," 7,107 "," 6,528 "," 6,528 "," 6,528 "," 19,824 ",13.68,"$40K-$60K","0-25","within3km",226
